price,bedrooms,bathrooms,floorsize,address
"$390,000",3 bds,3 ba,"1,286 sqft","7210 Hermosa Ave, Rancho Cucamonga, CA 91701"
"$385,000",2 bds,2 ba,"1,183 sqft","10571 Lakeside Dr S UNIT D, Garden Grove, CA 92840"
"$1,799,000",4 bds,4 ba,"2,508 sqft","10575 Ashton Ave APT 103, Los Angeles, CA 90024"
"$399,900",2 bds,2 ba,"1,245 sqft","300 S Prospectors Rd UNIT 28, Diamond Bar, CA 91765"
"$375,000",2 bds,2 ba,"1,018 sqft","334 Gladys Ave APT 205, Long Beach, CA 90814"
"$375,000",2 bds,2 ba,813 sqft,"2321 Highbury Ave APT 56, Los Angeles, CA 90032"
"$510,000",2 bds,2 ba,"1,016 sqft","214 Via Robina APT 1, San Clemente, CA 92672"
"$450,000",3 bds,2 ba,"1,287 sqft","50 Belvedere Ct, Napa, CA 94559"
"$688,000",3 bds,3 ba,"1,601 sqft","76 Chula Vista #88, Irvine, CA 92602"
"$465,000",2 bds,2 ba,"1,291 sqft","127 N Eucalyptus Ave APT 12, Inglewood, CA 90301"
"$674,950",3 bds,3 ba,"1,560 sqft","5016 Bakman Ave UNIT 303, North Hollywood, CA 91601"
"$319,900",2 bds,2 ba,"1,117 sqft","245 Calle Aragon UNIT D, Laguna Woods, CA 92637"
"$527,000",2 bds,2 ba,"1,111 sqft","912 Shady Oak Dr, Santa Rosa, CA 95404"
"$325,000",3 bds,3 ba,"1,058 sqft","441 Lighthouse Dr, Vallejo, CA 94590"
"$325,000",2 bds,2 ba,"1,370 sqft","3660 S Bear St UNIT G, Santa Ana, CA 92704"
"$479,900",2 bds,2 ba,"1,300 sqft","3115 Merrill Dr APT 57, Torrance, CA 90503"
"$610,000",Studio,1 ba,500 sqft,"2485 Filbert St APT B, San Francisco, CA 94123"
"$169,500",2 bds,1 ba,856 sqft,"700 Mccoy Ct APT 37, Lodi, CA 95240"
"$484,000",3 bds,3 ba,"1,713 sqft","7605 Princess Diana Ct, Vallejo, CA 94591"
"$274,987",2 bds,1 ba,718 sqft,"400 E Geary St, Stockton, CA 95204"
"$459,000",3 bds,2 ba,"1,436 sqft","7442 Hazeltine Ave APT 203, Los Angeles, CA 91405"
"$1,595,000",2 bds,3 ba,"1,920 sqft","1111 S Grand Ave PENTHOUSE 2, Los Angeles, CA 90015"
"$384,999",2 bds,3 ba,"1,480 sqft","1760 E Palomar St UNIT 319, Chula Vista, CA 91913"
"$798,000",2 bds,2 ba,"1,583 sqft","3131 Michelson Dr UNIT 807, Irvine, CA 92612"
"$559,888",3 bds,2 ba,"1,197 sqft","3417 Virgo Ln, San Jose, CA 95111"
"$3,400,000",3 bds,3 ba,"1,725 sqft","2975 Ocean Front Walk #3, San Diego, CA 92109"
"$190,000",1 bd,1 ba,762 sqft,"28661 Via Las Flores UNIT 314, Murrieta, CA 92563"
"$306,727",2 bds,1 ba,732 sqft,"14660 Via Fiesta UNIT 4, San Diego, CA 92127"
"$579,000",2 bds,2 ba,"1,071 sqft","320 Via Casitas APT 110, Greenbrae, CA 94904"
"$560,000",3 bds,3 ba,"1,791 sqft","9253 Cedros Ave, Panorama City, CA 91402"
"$560,000",3 bds,3 ba,"1,791 sqft","9253 Cedros Ave, Panorama City, CA 91402"
"$250,000",3 bds,2 ba,"1,103 sqft","8210 Union House Way, Sacramento, CA 95823"
"$379,000",1 bd,2 ba,875 sqft,"2235 W 25th St UNIT 103, Los Angeles, CA 90732"
"$359,999",3 bds,2 ba,"1,273 sqft","1233 Lenwood Sq, Upland, CA 91786"
"$334,999",3 bds,3 ba,"1,292 sqft","1112 S Cypress Ave APT 22, Ontario, CA 91762"
"$275,600",2 bds,2 ba,582 sqft,"3796 Alabama St #A102, San Diego, CA 92104"
"$421,191",2 bds,1 ba,"1,117 sqft","1740 Bancroft Ave UNIT 357, San Francisco, CA 94124"
"$259,000",2 bds,2 ba,"1,034 sqft","6205 Paseo De La Palma, Palm Springs, CA 92264"
"$435,000",2 bds,3 ba,"1,324 sqft","8636 Mission San Carlos Dr UNIT 51, Santee, CA 92071"
"$212,900",2 bds,2 ba,"1,818 sqft","79005 Bayside Ct, Bermuda Dunes, CA 92203"
"$555,000",3 bds,2 ba,"1,430 sqft","5845 Friars Rd APT 1416, San Diego, CA 92110"
"$290,000",1 bd,1 ba,605 sqft,"11450 Via Rancho San Diego UNIT 187, El Cajon, CA 92019"
"$294,950",3 bds,2 ba,"1,168 sqft","5201 Laguna Oaks Dr UNIT 106, Elk Grove, CA 95758"
"$365,000",2 bds,2 ba,984 sqft,"450 Occidental Cir, Santa Rosa, CA 95401"
"$995,000",3 bds,2 ba,"1,951 sqft","7044 Via Valverde, San Jose, CA 95135"
"$599,000",3 bds,3 ba,"1,430 sqft","15 Piara St, Rancho Mission Viejo, CA 92694"
"$489,900",2 bds,2 ba,897 sqft,"4494 Mentone St UNIT 14, San Diego, CA 92107"
"$150,000",2 bds,2 ba,"1,148 sqft","28881 Shannon Ct, Tehachapi, CA 93561"
"$285,000",2 bds,2 ba,"1,193 sqft","1900 Danbrook Dr UNIT 513, Sacramento, CA 95835"
"$799,000",3 bds,3 ba,"1,617 sqft","11251 1/2 Hatteras St, North Hollywood, CA 91601"
"$1,250,000",3 bds,2 ba,"1,392 sqft","479 Vallejo St, San Francisco, CA 94133"
"$649,999",2 bds,2 ba,"1,177 sqft","2200 Agnew Rd APT 312, Santa Clara, CA 95054"
"$309,000",2 bds,1 ba,"1,100 sqft","1740 Interlachen Rd APT 39F, Seal Beach, CA 90740"
"$349,000",2 bds,2 ba,923 sqft,"5349 Newcastle Ave APT 67, Los Angeles, CA 91316"
"$299,500",3 bds,1 ba,"1,104 sqft","3841 Jasmine St, Sacramento, CA 95838"
"$399,000",3 bds,3 ba,"1,781 sqft","7223 Cristina Villa Ct, Highland, CA 92346"
"$518,888",2 bds,2 ba,"1,348 sqft","5249 Cribari Hls, San Jose, CA 95135"
"$612,000",2 bds,3 ba,"1,260 sqft","12606 Burbank Blvd APT 3, Los Angeles, CA 91607"
"$384,900",3 bds,2 ba,"1,759 sqft","26 Maximo Way, Palm Desert, CA 92260"
"$610,000",2 bds,2 ba,989 sqft,"5437 Makati Cir, San Jose, CA 95123"
"$955,000",4 bds,5 ba,"2,986 sqft","56585 Riviera, La Quinta, CA 92253"
"$399,500",3 bds,2 ba,"1,584 sqft","604 Green River St, Oxnard, CA 93036"
"$409,800",2 bds,2 ba,"1,098 sqft","7671 Mission Gorge Rd UNIT 92, San Diego, CA 92120"
"$729,500",2 bds,3 ba,"1,139 sqft","1240 India St UNIT 1906, San Diego, CA 92101"
"$589,999",1 bd,1 ba,-- sqft,"3065 Clay St APT A, San Francisco, CA 94115"
"$899,000",3 bds,2 ba,"1,444 sqft","11938 Courtleigh Dr APT 8, Los Angeles, CA 90066"
"$1,249,000",3 bds,3 ba,"1,854 sqft","1601 N Fuller Ave APT 602, Los Angeles, CA 90046"
"$399,999",2 bds,2 ba,"1,008 sqft","1449 Water Lily Dr UNIT 6, Chula Vista, CA 91913"
"$355,000",2 bds,3 ba,"1,581 sqft","33 Majorca Dr, Rancho Mirage, CA 92270"
"$400,000",2 bds,1 ba,650 sqft,"4387 Illinois St UNIT 4, San Diego, CA 92104"
"$499,000",3 bds,2 ba,"1,104 sqft","2738 Via Tulipan, Carlsbad, CA 92010"
"$199,900",2 bds,2 ba,"1,137 sqft","86 Ishi Cir, Sacramento, CA 95833"
"$685,000",2 bds,2 ba,985 sqft,"740 Mandalay Beach Rd, Oxnard, CA 93035"
"$333,004",1 bd,1 ba,795 sqft,"140 S Van Ness Ave UNIT 203, San Francisco, CA 94103"
"$375,000",3 bds,3 ba,"1,803 sqft","73476 Foxtail Ln, Palm Desert, CA 92260"
"$599,000",2 bds,1 ba,842 sqft,"2987 Mission St APT 301, San Francisco, CA 94110"
"$1,018,000",3 bds,3 ba,"1,727 sqft","814 Font Ter, San Jose, CA 95126"
"$240,000",1 bd,1 ba,506 sqft,"901 Bay Shore Blvd APT 206, San Francisco, CA 94124"
"$1,100,000",2 bds,2 ba,"1,154 sqft","600 Chestnut St APT 204, San Francisco, CA 94133"
"$315,000",2 bds,1 ba,756 sqft,"4336 College Ave, San Diego, CA 92115"
"$595,000",1 bd,2 ba,835 sqft,"11767 W Sunset Blvd APT 106, Los Angeles, CA 90049"
"$1,589,000",3 bds,2 ba,"1,409 sqft","501 Mississippi St #2, San Francisco, CA 94107"
"$1,049,000",2 bds,2 ba,984 sqft,"4183 17th St, San Francisco, CA 94114"
"$425,000",2 bds,2 ba,895 sqft,"534 W Dunton Ave #32, Orange, CA 92865"
"$685,000",1 bd,1 ba,643 sqft,"1043 12th St APT 1, Santa Monica, CA 90403"
"$995,000",2 bds,2 ba,"1,222 sqft","2401 44th Ave UNIT 5, San Francisco, CA 94116"
"$995,000",2 bds,2 ba,983 sqft,"1635 California St APT 61, San Francisco, CA 94109"
"$349,900",2 bds,2 ba,870 sqft,"18350 Hatteras St APT 232, Tarzana, CA 91356"
"$629,000",1 bd,1 ba,784 sqft,"825 La Playa St APT 227, San Francisco, CA 94121"
"$459,000",2 bds,2 ba,"1,032 sqft","2525 E 19th St APT 32, Signal Hill, CA 90755"
"$1,099,000",3 bds,2 ba,"1,288 sqft","2681 Mcallister St, San Francisco, CA 94118"
"$200,000",2 bds,1 ba,841 sqft,"1223 Bonanza Ave APT 4, South Lake Tahoe, CA 96150"
"$899,000",2 bds,2 ba,"1,100 sqft","611 Carolina St, San Francisco, CA 94107"
"$1,448,000",2 bds,2 ba,"1,625 sqft","1205 Pacific Hwy #2902, San Diego, CA 92101"
"$599,000",2 bds,2 ba,849 sqft,"6201 Minaret Rd #2121, Mammoth Lakes, CA 93546"
"$399,000",2 bds,2 ba,"1,015 sqft","6342 Morse Ave APT 206, Los Angeles, CA 91606"
"$389,000",2 bds,2 ba,"1,155 sqft","16126 Cornuta Ave UNIT 114, Bellflower, CA 90706"
"$650,000",2 bds,2 ba,988 sqft,"1412 Rocklin Ct, San Jose, CA 95131"
"$389,000",1 bd,1 ba,800 sqft,"4280 Via Arbolada UNIT 339, Los Angeles, CA 90042"
"$575,000",1 bd,1 ba,728 sqft,"750 N Kings Rd APT 216, Los Angeles, CA 90069"
