price,bedrooms,bathrooms,floorsize,city,zipcode
2595000,2,2,1306,SanFrancisco,94115
349000,1,1,578,PalmSprings,92262
430000,1,2,658,LongBeach,90803
520000,2,2,1296,Davis,95616
759000,3,3,1208,LosAngeles,90066
575000,1,1,669,Oakland,94612
599000,2,1,934,LosGatos,95032
446900,2,2,1231,MammothLakes,93546
540000,2,2,1211,WalnutCreek,94597
375000,1,1,633,Irvine,92620
355000,3,3,1842,FairOaks,95628
345000,3,2,1080,Oakdale,95361
519888,3,2,1181,WalnutCreek,94597
380000,2,2,1333,PalmSprings,92262
589000,2,2,962,CulverCity,90230
229000,2,2,1064,Sacramento,95825
535000,3,2,1121,Irvine,92604
550000,2,2,1061,NewportBeach,92663
474900,3,3,1438,DiamondBar,91765
620000,2,2,1342,Novato,94949
255000,2,2,1009,LagunaWoods,92637
265000,1,1,600,LongBeach,90802
410000,2,2,986,SanDiego,92107
795000,3,3,1770,AlisoViejo,92656
335000,1,1,757,LakeArrowhead,92352
445000,1,1,728,WestHollywood,90046
1495000,2,2,966,Carpinteria,93013
139000,1,1,700,Redlands,92373
190000,2,2,1009,LagunaHills,92637
455000,3,2,1158,MissionViejo,92691
134990,3,2,1174,Bakersfield,93309
549000,1,1,632,SanFrancisco,94109
468000,3,3,1183,BuenaPark,90621
316000,1,1,710,LakeForest,92630
549000,2,2,978,LaJolla,92037
349900,2,1,962,Inglewood,90301
325000,2,2,1089,Escondido,92025
1188000,2,2,1395,FosterCity,94404
694888,3,3,1472,Tustin,92782
435000,2,2,1228,Whittier,90601
385000,2,2,1188,ElCajon,92019
515000,2,2,955,Irvine,92620
579000,3,2,1138,SanDiego,92103
739000,3,4,2842,PennValley,95946
555000,2,2,955,RedondoBeach,90277
449800,2,2,1049,Fullerton,92835
349000,2,2,963,ChulaVista,91910
349000,2,2,963,ChulaVista,91910
950000,2,3,2533,PalmDesert,92260
189900,2,2,1183,Hemet,92544
359000,1,1,585,SanDiego,92101
320000,0,1,460,LosAngeles,90014
449900,2,2,1062,RanchoSantaMargarita,92688
895000,2,2,1300,LosAngeles,90067
299000,2,1,836,LaVerne,91750
599888,2,2,1052,Fremont,94538
998000,3,2,1551,LongBeach,90802
899000,2,1,855,SanFrancisco,94109
364373,2,2,900,PismoBeach,93449
849000,2,2,876,SantaMonica,90403
539000,2,2,995,Alameda,94501
842000,3,2,1889,SanRafael,94903
774888,2,2,1103,Milpitas,95035
575000,2,2,1080,SanDiego,92109
400000,2,2,1052,SanDiego,92131
599000,2,2,878,SanDiego,92109
279999,2,2,965,PortHueneme,93041
409900,3,3,1366,RanchoCucamonga,91730
299000,0,1,460,LongBeach,90802
18500000,3,4,3850,WestHollywood,90069
489000,2,2,1288,Novato,94947
